,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,Timestamp
7,74,Dogecoin,DOGE,dogecoin,1229,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america']",,149439276383.70526,149439276383.70526,True,,8,,,,2025-05-27T17:13:00.000Z,0.2295238645354544,1322932831.4106855,3.9797,0.88935926,2.14864025,3.62762365,27.83986158,27.59830627,11.3670262,34299880228.969894,0.9854,34299880228.97,,2025-05-27T17:13:00.000Z,,,,,,2025-05-27 19:13:57.516287
8,2010,Cardano,ADA,cardano,1524,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve']",45000000000.0,35334514487.46726,44994495302.31451,False,,9,,,,2025-05-27T17:13:00.000Z,0.7705738551279804,676632292.7350854,-2.1218,0.49958347,1.378059,4.836624,10.62494618,11.21869108,14.76075772,27227853047.68312,0.7824,34675823480.76,,2025-05-27T17:13:00.000Z,,,,,,2025-05-27 19:13:57.516287
9,1958,TRON,TRX,tron,1180,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio']",,94873221137.98709,94873141208.10585,True,,10,,,,2025-05-27T17:13:00.000Z,0.27550247629395186,575422384.42425,22.2114,0.46690633,1.25206152,0.87761226,10.56277417,18.64757171,21.58547501,26137807357.49914,0.7506,26137785336.62,,2025-05-27T17:13:00.000Z,,,,,,2025-05-27 19:13:57.516287
10,32196,Hyperliquid,HYPE,hyperliquid,87,2024-07-15T10:14:50.000Z,"['decentralized-exchange-dex-token', 'defi', 'derivatives', 'layer-1', 'hyperliquid-ecosystem']",1000000000.0,333928180.0,999993930.0,False,,11,333931719.0,12755665130.633545,,2025-05-27T17:13:00.000Z,38.19842322505921,347973939.24156934,-18.8019,1.54528474,-0.5135745,46.79674854,114.63150832,182.38664911,90.20033557,12755529946.413752,0.3665,38198423225.06,,2025-05-27T17:13:00.000Z,32196.0,Hyperliquid,HYPE,hyperliquid,0x0d01dc56dcaaca66ad901c959b4011ec,2025-05-27 19:13:57.516287
11,20947,Sui,SUI,sui,666,2022-07-12T08:03:11.000Z,"['binance-launchpool', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', 'sui-ecosystem', 'layer-1', 'move-vm', 'cmc-crypto-yearbook-2024-2025', 'made-in-america', 'world-liberty-financial-portfolio', 'binance-ecosystem']",10000000000.0,3338327017.9116654,10000000000.0,False,,12,3338327017.9116654,12239560495.911541,,2025-05-27T17:13:00.000Z,3.6663755318878737,1152844405.0835693,31.0697,-0.15089796,4.81728243,-5.63314887,2.23675492,46.09594396,23.46637869,12239560495.911541,0.3516,36663755318.88,,2025-05-27T17:13:00.000Z,,,,,,2025-05-27 19:13:57.516287
12,1975,Chainlink,LINK,chainlink,2015,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'ethereum-ecosystem', 'polkadot', 'heco-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'terra-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'cross-chain', 'cardano', 'injective-ecosystem', 'bnb-chain-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'gnosis-chain-ecosystem', 'sora-ecosystem', 'hoo-smart-chain-ecosystem', 'milkomeda-ecosystem', 'energi-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio']",,657099970.4527867,1000000000.0,False,,13,,,,2025-05-27T17:13:00.000Z,16.020229334276713,361709792.9017527,11.6567,0.44810632,2.88370868,3.00262691,10.5201429,14.10767784,3.66412304,10526892222.200094,0.3023,16020229334.28,,2025-05-27T17:13:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2025-05-27 19:13:57.516287
13,5805,Avalanche,AVAX,avalanche,916,2020-07-13T00:00:00.000Z,"['smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1', 'made-in-america']",715748719.0,421152926.1483426,456155626.1483426,False,,14,,,,2025-05-27T17:13:00.000Z,23.579739317380735,383655409.7712446,10.5173,1.05214314,1.66514894,6.11985731,8.13953051,18.96294795,5.62368013,9930676211.330019,0.2853,16877168210.77,,2025-05-27T17:13:00.000Z,,,,,,2025-05-27 19:13:57.516287
14,512,Stellar,XLM,stellar,708,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'defi', 'smart-contracts', 'hashkey-capital-portfolio', 'real-world-assets', '2017-2018-alt-season', 'made-in-america']",50001806812.0,31115809392.085503,50001786892.81785,False,,15,,,,2025-05-27T17:13:00.000Z,0.2900562827103982,170838158.12940353,20.7626,0.30693842,1.54806165,2.44848466,2.30384794,7.06676171,-0.91764167,9025336005.793615,0.2593,14503338212.69,,2025-05-27T17:13:00.000Z,,,,,,2025-05-27 19:13:57.516287
0,1,Bitcoin,BTC,bitcoin,12193,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem']",21000000.0,19870703.0,19870703.0,False,,1,,,,2025-05-27T17:14:00.000Z,110175.88938981746,54434415804.12658,16.8089,0.05233221,0.65153007,3.83315768,17.03144189,31.7718436,26.50083333,2189272375825.9138,62.895,2313693677186.17,,2025-05-27T17:14:00.000Z,,,,,,2025-05-27 19:14:59.037573
1,1027,Ethereum,ETH,ethereum,10313,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem']",,120725747.86194856,120725747.86194856,True,,2,,,,2025-05-27T17:14:00.000Z,2689.6293308432373,23577905906.44831,57.9179,0.92824374,5.66870065,7.76952244,49.3790757,43.91941397,12.01477766,324707512437.4821,9.3245,324707512437.48,,2025-05-27T17:14:00.000Z,,,,,,2025-05-27 19:14:59.037573
